pod index,K4.0 Greedy,K4.0 Dynamic,K8s_mostAllocated
"175,0","0,937","0,965","0,846"
"176,0","0,937","0,960","0,841"
"177,0","0,938","0,960","0,842"
"178,0","0,938","0,960","0,843"
"179,0","0,938","0,955","0,838"
"180,0","0,939","0,955","0,839"
"181,0","0,939","0,956","0,840"
"182,0","0,934","0,956","0,836"
"183,0","0,934","0,956","0,836"
"184,0","0,935","0,956","0,837"
"185,0","0,935","0,951","0,838"
"186,0","0,935","0,946","0,839"
"187,0","0,936","0,946","0,840"
"188,0","0,936","0,947","0,841"
"189,0","0,936","0,947","0,842"
"190,0","0,937","0,947","0,842"
"191,0","0,937","0,947","0,843"
"192,0","0,937","0,948","0,839"
"193,0","0,938","0,948","0,840"
"194,0","0,938","0,948","0,835"
"195,0","0,938","0,948","0,836"
"196,0","0,939","0,949","0,837"
"197,0","0,939","0,949","0,838"
"198,0","0,939","0,949","0,839"
"199,0","0,940","0,950","0,840"
"200,0","0,940","0,950","0,840"
"201,0","0,940","0,950","0,841"
"202,0","0,940","0,950","0,842"
"203,0","0,941","0,950","0,843"
"204,0","0,941","0,951","0,843"
"205,0","0,941","0,951","0,844"
"206,0","0,942","0,951","0,845"
"207,0","0,942","0,951","0,846"
"208,0","0,942","0,952","0,846"
"209,0","0,942","0,952","0,847"
"210,0","0,943","0,952","0,848"
"211,0","0,943","0,952","0,849"
"212,0","0,943","0,953","0,849"
"213,0","0,943","0,953","0,850"
"214,0","0,944","0,953","0,851"
"215,0","0,944","0,953","0,851"
"216,0","0,944","0,953","0,847"
"217,0","0,944","0,954","0,848"
"218,0","0,945","0,954","0,849"
"219,0","0,945","0,954","0,845"
"220,0","0,941","0,950","0,841"
"221,0","0,941","0,950","0,842"
"222,0","0,941","0,950","0,843"
"223,0","0,941","0,950","0,843"
"224,0","0,942","0,951","0,844"
"225,0","0,942","0,951","0,845"
"226,0","0,942","0,951","0,841"
"227,0","0,942","0,951","0,842"
"228,0","0,943","0,951","0,842"
"229,0","0,943","0,952","0,843"
"230,0","0,943","0,952","0,839"
"231,0","0,943","0,952","0,840"
"232,0","0,944","0,952","0,841"
"233,0","0,944","0,952","0,841"
"234,0","0,944","0,953","0,842"
"235,0","0,944","0,953","0,838"
"236,0","0,945","0,953","0,839"
"237,0","0,945","0,953","0,840"
"238,0","0,941","0,953","0,841"
"239,0","0,941","0,954","0,837"
"240,0","0,937","0,954","0,838"
"241,0","0,938","0,954","0,838"
"242,0","0,938","0,954","0,839"
"243,0","0,938","0,954","0,840"
"244,0","0,934","0,951","0,836"
"245,0","0,934","0,951","0,837"
"246,0","0,935","0,947","0,834"
"247,0","0,935","0,947","0,834"
"248,0","0,935","0,947","0,835"
"249,0","0,936","0,948","0,836"
"250,0","0,936","0,948","0,836"
"251,0","0,936","0,948","0,837"
"252,0","0,936","0,948","0,837"
"253,0","0,937","0,948","0,838"
"254,0","0,937","0,949","0,839"
"255,0","0,937","0,949","0,839"
"256,0","0,937","0,945","0,836"
"257,0","0,937","0,945","0,837"
"258,0","0,938","0,945","0,837"
"259,0","0,938","0,946","0,834"
"260,0","0,938","0,946","0,835"
"261,0","0,935","0,946","0,832"
"262,0","0,931","0,942","0,828"
"263,0","0,931","0,943","0,829"
"264,0","0,932","0,943","0,826"
"265,0","0,932","0,943","0,823"
"266,0","0,932","0,943","0,823"
"267,0","0,932","0,944","0,824"
"268,0","0,933","0,944","0,825"
"269,0","0,933","0,944","0,825"
"270,0","0,933","0,944","0,826"
"271,0","0,933","0,941","0,827"
"272,0","0,934","0,937","0,827"
"273,0","0,930","0,937","0,828"
"274,0","0,930","0,938","0,829"
"275,0","0,927","0,934","0,826"
"276,0","0,927","0,935","0,826"
"277,0","0,928","0,935","0,827"
"278,0","0,924","0,935","0,827"
"279,0","0,925","0,935","0,828"
"280,0","0,925","0,935","0,829"
"281,0","0,925","0,936","0,826"
"282,0","0,925","0,936","0,826"
"283,0","0,926","0,936","0,827"
"284,0","0,926","0,936","0,828"
"285,0","0,926","0,933","0,825"
"286,0","0,926","0,933","0,825"
"287,0","0,927","0,934","0,826"
"288,0","0,927","0,934","0,826"
"289,0","0,927","0,934","0,824"
"290,0","0,927","0,931","0,821"
"291,0","0,928","0,931","0,821"
"292,0","0,928","0,931","0,822"
"293,0","0,928","0,931","0,823"
"294,0","0,928","0,932","0,823"
"295,0","0,929","0,932","0,824"
"296,0","0,925","0,932","0,824"
"297,0","0,926","0,932","0,825"
"298,0","0,926","0,933","0,826"
"299,0","0,926","0,933","0,826"
"300,0","0,926","0,933","0,827"
"301,0","0,927","0,933","0,827"
"302,0","0,927","0,933","0,825"
"303,0","0,927","0,934","0,825"
"304,0","0,927","0,931","0,822"
"305,0","0,928","0,928","0,820"
"306,0","0,925","0,928","0,820"
"307,0","0,925","0,928","0,821"
"308,0","0,925","0,928","0,822"
"309,0","0,925","0,929","0,822"
"310,0","0,926","0,929","0,823"
"311,0","0,926","0,929","0,823"
"312,0","0,926","0,929","0,824"
"313,0","0,926","0,929","0,824"
"314,0","0,926","0,930","0,825"
"315,0","0,927","0,930","0,825"
"316,0","0,927","0,930","0,823"
"317,0","0,927","0,930","0,823"
"318,0","0,927","0,931","0,824"
"319,0","0,928","0,931","0,825"
"320,0","0,928","0,931","0,822"
"321,0","0,928","0,931","0,819"
"322,0","0,928","0,931","0,820"
"323,0","0,929","0,932","0,817"
"324,0","0,929","0,932","0,818"
"325,0","0,929","0,932","0,819"
"326,0","0,929","0,932","0,819"
"327,0","0,929","0,929","0,820"
"328,0","0,927","0,927","0,820"
"329,0","0,924","0,924","0,818"
"330,0","0,924","0,924","0,818"
"331,0","0,924","0,921","0,819"
"332,0","0,924","0,918","0,819"
"333,0","0,925","0,919","0,820"
"334,0","0,925","0,919","0,820"
"335,0","0,925","0,919","0,821"
"336,0","0,925","0,919","0,821"
"337,0","0,926","0,920","0,822"
"338,0","0,926","0,920","0,823"
"339,0","0,926","0,920","0,823"
"340,0","0,926","0,920","0,821"
"341,0","0,923","0,921","0,821"
"342,0","0,924","0,921","0,822"
"343,0","0,921","0,921","0,819"
"344,0","0,921","0,921","0,820"
"345,0","0,921","0,921","0,817"
"346,0","0,922","0,922","0,818"
"347,0","0,922","0,922","0,818"
"348,0","0,922","0,922","0,819"
"349,0","0,922","0,922","0,820"
