pod index,K4.0 Greedy,K4.0 Dynamic,K8s_leastAllocated
"175,0","0,356","0,313","0,944"
"176,0","0,356","0,313","0,965"
"177,0","0,356","0,313","0,965"
"178,0","0,356","0,313","0,896"
"179,0","0,356","0,313","0,965"
"180,0","0,406","0,313","0,965"
"181,0","0,517","0,313","0,965"
"182,0","0,517","0,313","0,965"
"183,0","0,517","0,313","0,965"
"184,0","0,517","0,313","0,904"
"185,0","0,517","0,313","0,938"
"186,0","0,517","0,313","1,0"
"187,0","0,517","0,313","1,0"
"188,0","0,517","0,313","1,0"
"189,0","0,517","0,313","1,0"
"190,0","0,517","0,313","0,906"
"191,0","0,517","0,313","0,906"
"192,0","0,517","0,313","0,906"
"193,0","0,517","0,313","0,863"
"194,0","0,517","0,313","0,956"
"195,0","0,517","0,364","0,956"
"196,0","0,517","0,471","0,956"
"197,0","0,467","0,471","1,0"
"198,0","0,356","0,471","1,0"
"199,0","0,356","0,471","1,0"
"200,0","0,517","0,471","1,0"
"201,0","0,517","0,471","0,976"
"202,0","0,517","0,471","0,976"
"203,0","0,624","0,471","0,881"
"204,0","0,624","0,471","0,904"
"205,0","0,585","0,471","0,860"
"206,0","0,585","0,471","1,0"
"207,0","0,478","0,471","0,887"
"208,0","0,478","0,471","1,0"
"209,0","0,478","0,471","1,0"
"210,0","0,478","0,471","1,0"
"211,0","0,478","0,471","1,0"
"212,0","0,478","0,471","1,0"
"213,0","0,478","0,471","1,0"
"214,0","0,407","0,471","0,938"
"215,0","0,407","0,364","0,894"
"216,0","0,296","0,364","0,894"
"217,0","0,296","0,364","0,894"
"218,0","0,335","0,364","0,894"
"219,0","0,335","0,364","0,851"
"220,0","0,335","0,364","0,894"
"221,0","0,335","0,364","0,938"
"222,0","0,406","0,364","0,938"
"223,0","0,406","0,364","0,938"
"224,0","0,406","0,364","0,932"
"225,0","0,406","0,364","0,895"
"226,0","0,406","0,364","1,0"
"227,0","0,335","0,364","1,0"
"228,0","0,335","0,364","0,715"
"229,0","0,335","0,364","0,841"
"230,0","0,335","0,364","0,906"
"231,0","0,335","0,364","0,906"
"232,0","0,335","0,364","1,0"
"233,0","0,296","0,293","1,0"
"234,0","0,296","0,293","1,0"
"235,0","0,302","0,293","1,0"
"236,0","0,341","0,293","0,938"
"237,0","0,341","0,293","0,938"
"238,0","0,341","0,293","1,0"
"239,0","0,341","0,293","1,0"
"240,0","0,341","0,293","1,0"
"241,0","0,341","0,293","1,0"
"242,0","0,341","0,293","1,0"
"243,0","0,412","0,293","0,951"
"244,0","0,412","0,293","0,801"
"245,0","0,412","0,293","0,890"
"246,0","0,412","0,293","1,0"
"247,0","0,412","0,293","1,0"
"248,0","0,412","0,293","1,0"
"249,0","0,412","0,293","0,887"
"250,0","0,412","0,293","0,887"
"251,0","0,412","0,293","0,887"
"252,0","0,412","0,293","0,885"
"253,0","0,412","0,471","0,885"
